url,black,blue,brown,green,grey,orange,pink,purple,red,turquoise,white,yellow,red_blue_ratio,red_blue_dominance,red_green_ratio,red_green_dominance,red_yellow_ratio,red_yellow_dominance,red_purple_ratio,red_purple_dominance,blue_yellow_ratio,blue_yellow_dominance,blue_orange_ratio,blue_orange_dominance,blue_green_ratio,blue_green_dominance,blue_purple_ratio,blue_purple_dominance,yellow_purple_ratio,yellow_purple_dominance,yellow_green_ratio,yellow_green_dominance,yellow_orange_ratio,yellow_orange_dominance,green_purple_ratio,green_purple_dominance,green_orange_ratio,green_orange_dominance,purple_orange_ratio,purple_orange_dominance,black_white_ratio,black_white_dominance,black_grey_ratio,black_grey_dominance,black_brown_ratio,black_brown_dominance,white_grey_ratio,white_grey_dominance,white_brown_ratio,white_brown_dominance,grey_brown_ratio,grey_brown_dominance,red_orange_ratio,red_orange_dominance,orange_yellow_ratio,orange_yellow_dominance,blue_turquoise_ratio,blue_turquoise_dominance,green_turquoise_ratio,green_turquoise_dominance,purple_pink_ratio,purple_pink_dominance,red_pink_ratio,red_pink_dominance,red_green_complementary,blue_orange_complementary,yellow_purple_complementary,analogous_group_1,analogous_group_2,analogous_group_3,analogous_group_4,analogous_group_5,warm_colors_total,cool_colors_total,neutral_colors_total,warm_cool_balance,warm_cool_ratio,num_dominant_colors,palette_variance,primary_dominance,color_diversity,dominant_is_warm,dominant_is_cool,dominant_is_neutral,color_balance,anger,anticipation,arrogance,disagreeableness,disgust,fear,gratitude,happiness,humility,love,optimism,pessimism,sadness,surprise,trust
https://uploads7.wikiart.org/images/robert-campin/triptych-the-two-thieves-with-the-empty-cross-the-entombment-the-resurrection.jpg,0.3,0.0,0.51,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.808625337,1,0.712589074,1,0.369913687,0,0.366492147,0,0.120481928,0,0.190174326,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0.161263947,0.51,0.684414976,0,0,1,0.838897156,0.2,0.1,0.1,0.0,0.0,0.2,0.1,0.1,0.0,0.1,0.0,0.1,0.3,0.1,0.5
https://uploads3.wikiart.org/images/masaccio/st-juvenal-triptych-1422.jpg,0.13,0.0,0.43,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.316301703,0,0.446735395,0,0.231729055,0,0.634920635,1,0.393811533,0,0.27072758,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0.142211963,0.43,0.670041849,0,0,1,0.857930107,0.0,0.063,0.0,0.0,0.063,0.0,0.25,0.063,0.188,0.188,0.063,0.0,0.063,0.0,0.625
https://uploads0.wikiart.org/images/robert-campin/blessing-christ-and-praying-virgin.jpg,0.36,0.0,0.13,0.0,0.15,0.28,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.816326531,1,0.704500978,1,0.733197556,1,0.346320346,0,0.379146919,0,0.533807829,1,0.0,0,0.996441281,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.28,0.0,0.28,0.0,0.0,0.0,0.28,0.28,0.0,0.72,0.28,280.0,5,0.124486825,0.36,0.655161148,0,0,1,0.875637537,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.4,0.1,0.0,0.0,0.0,0.0,0.5
https://uploads1.wikiart.org/images/masaccio/the-tribute-money-1425.jpg,0.222222222,0.0,0.181818182,0.0,0.595959596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.995520159,1,0.271273382,0,0.548642111,1,0.0,0,0.0,0,0.765249874,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0.1794626,0.595959596,0.699372283,0,0,1,0.820716683,0.083,0.25,0.083,0.083,0.083,0.0,0.0,0.25,0.333,0.083,0.083,0.0,0.0,0.0,0.5
https://uploads0.wikiart.org/images/masaccio/st-paul-1426.jpg,0.0,0.0,0.71,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.58419244,1,0.192962543,0,0.144404332,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0.205396881,0.71,0.711115498,0,0,1,0.794808311,0.0,0.091,0.0,0.0,0.091,0.091,0.091,0.0,0.182,0.0,0.091,0.091,0.364,0.091,0.455
https://uploads2.wikiart.org/images/masaccio/st-andrew-1426.jpg,0.0,0.0,0.47,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.677966102,1,0.433212996,0,0.265210608,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0.164058378,0.47,0.651680725,0,0,1,0.836105516,0.0,0.047,0.0,0.016,0.031,0.031,0.094,0.141,0.422,0.031,0.188,0.031,0.219,0.047,0.359
https://uploads5.wikiart.org/images/masaccio/adam-and-eve-banished-from-paradise.jpg,0.0,0.0,0.39,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.609390609,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0.200196873,0.61,0.672345544,0,0,1,0.800003124,0.127,0.014,0.028,0.056,0.056,0.493,0.0,0.0,0.042,0.028,0.0,0.127,0.676,0.056,0.099
https://uploads0.wikiart.org/images/robert-campin/holy-virgin-in-glory-1430.jpg,0.3,0.0,0.19,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.996677741,1,0.369913687,0,0.610997963,1,0.0,0,0.0,0,0.727532097,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0.165931713,0.51,0.675280405,0,0,1,0.834234053,0.0,0.1,0.2,0.0,0.0,0.1,0.4,0.4,0.2,0.4,0.4,0.1,0.1,0.0,0.2
https://uploads6.wikiart.org/images/filippo-lippi/madonna-and-child-1430.jpg,0.16,0.0,0.11,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.332640333,0,0.280210158,0,0.590405904,1,0.437756498,0,0.742459397,1,0.786948177,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0.142977006,0.41,0.652124073,0,0,1,0.857165828,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.5,0.2,0.6,0.0,0.0,0.1,0.1,0.4
https://uploads5.wikiart.org/images/fra-angelico/last-judgment.jpg,0.15,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.993377483,1,0.14985015,0,0.993377483,1,0.0,0,0.0,0,0.998824912,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0.245258058,0.85,0.711800167,0,0,1,0.754986955,0.0,0.0,0.071,0.071,0.0,0.143,0.143,0.071,0.143,0.143,0.071,0.071,0.0,0.214,0.571
